,title,published_date,views,likes,dislikes,comments,commeents,month
148,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),Aug,13249,472,0,55,55,01-08-1900
149,Don't Buy My Course..,Aug,7346,360,0,146,146,01-08-1900
150,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,Aug,29148,1113,0,166,166,01-08-1900
151,Reviewing Your Projects - Episode 16 (Project Review for Beginners),Aug,3256,127,0,38,38,01-08-1900
152,Data Scientist Dismantles the YouTube Algorithm.,Aug,6357,539,0,108,108,01-08-1900
153,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,Aug,5060,185,0,39,39,01-08-1900
154,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),Aug,12999,410,0,53,53,01-08-1900
155,The Plagiarism Problem in Data Science,Aug,13098,628,0,145,145,01-08-1900
156,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,Aug,14502,603,0,89,89,01-08-1900
157,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],Aug,4936,186,0,56,56,01-08-1900
158,My First Data Science Contracting Side-Gig (How I Did It),Jul,11507,583,0,90,90,01-07-1900
159,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,Jul,2330,116,0,34,34,01-07-1900
160,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),Jul,5715,250,0,112,112,01-07-1900
161,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),Jul,8271,247,0,199,199,01-07-1900
162,Is it Important to Share Your Data Science Work? (Ft. Eric Weber),Jul,1873,97,0,27,27,01-07-1900
163,Reviewing Your Data Science Resumes - Episode 12 (3 Different Resumes!),Jul,29342,565,0,90,90,01-07-1900
164,Beginner Kaggle Data Science Project Walk-Through (Titanic),Jul,351277,7659,0,434,434,01-07-1900
165,Uber Driver to Machine Learning Engineer in 9 Months! (@Daniel Bourke) - KNN EP. 05,Jul,30449,1126,0,121,121,01-07-1900
166,Reviewing Your Data Science Projects - Episode 11(GITHUB CLEANING),Jul,3659,135,0,50,50,01-07-1900
167,The Best Computer for Data Science Beginners,Jul,39087,863,0,158,158,01-07-1900
168,Should You Major in Data Science? (Jaemin Lee) - KNN EP. 04,Jul,6177,231,0,82,82,01-07-1900
169,Critiquing MY OWN Data Science Resume,Jul,12759,400,0,88,88,01-07-1900
170,Where to Start Learning Data Science,Jul,19009,781,0,127,127,01-07-1900
171,"Data Science Productivity, Motivation, and Organization (ft. Data Professor & Codebasics)",Jul,4206,198,0,35,35,01-07-1900
172,Reviewing Your Data Science Projects - Episode 10 (Leveraging Your Data),Jun,4630,177,0,52,52,01-06-1900
173,How to Get a Data Science Job at FAANG (@Data Science Jay) - KNN EP. 03,Jun,16693,554,0,79,79,01-06-1900
174,Reviewing Your Data Science Projects - Episode 9 (Professional Violinist),Jun,2431,82,0,40,40,01-06-1900
175,"Ken Jee Q & A Live Stream (50,000 Sub Special!)",Jun,2389,139,0,49,49,01-06-1900
176,Reviewing Your Data Science Projects - Episode 8 (College Student Help),Jun,4411,168,0,46,46,01-06-1900
177,Why You're Struggling to Learn Data Science,Jun,15311,1008,0,159,159,01-06-1900
178,Reviewing Your Data Science Projects - Episode 7 (Incredible Portfolio Website),Jun,12071,361,0,70,70,01-06-1900
179,The State of Data Science with Krish Naik & The Data Professor [Panel Discussion],Jun,24190,688,0,146,146,01-06-1900
